Menge |Wert                  |Bauelement            |Package      |FARNELL |REICHELT    |DIGIKEY |WUERTH          |Beschreibung                                          |Bauteile                             |
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1     |                      |                      |             |        |MM SL 8SK   |        |                |                                                      |X4                                   |
1     |                      |                      |             |        |PSK 254/3W  |        |                |                                                      |SL1                                  |
1     |                      |733980-62             |733980-62    |        |HEBW 21     |        |                |FEMALE PRINT CONNECTOR                                |X1                                   |
1     |                      |M03                   |03P          |        |PSS 254/3G  |        |                |AMP QUICK CONNECTOR                                   |SL1                                  |
1     |1M                    |R-EU_R0603            |R0603        |1469746 |            |        |                |RESISTOR, European symbol                             |R3                                   |
2     |1u/16v                |C-EUC0603             |C0603        |1463388 |            |        |                |CAPACITOR, European symbol                            |C1,C2                                |
1     |4n7                   |C-EUC0603             |C0603        |1865543 |            |        |                |CAPACITOR, European symbol                            |C11                                  |
3     |10k                   |R-EU_R0603            |R0603        |1469748 |            |        |                |RESISTOR, European symbol                             |R4,R5,R6                             |
1     |27k                   |R-EU_R0603            |R0603        |1627786 |            |        |                |RESISTOR, European symbol                             |R1                                   |
1     |47k                   |R-EU_R0603            |R0603        |1692459 |            |        |                |RESISTOR, European symbol                             |R2                                   |
11    |100n                  |C-EUC0603             |C0603        |1759122 |            |        |                |CAPACITOR, European symbol                            |C3,C4,C5,C6,C7,C8,C9,C10,C12,C13,C14 |
2     |820R                  |R-EU_R0603            |R0603        |1469841 |            |        |                |RESISTOR, European symbol                             |R7,R8                                |
3     |KURZHUBTASTER         |KURZHUBTASTER         |TA93XX       |        |Taster 9314 |        |430 182 043 816 |                                                      |TA1,TA2,TA3                          |
1     |MICROMATCH-8-WEIBLICH |MICROMATCH-8-WEIBLICH |MICROMATCH-8 |        |MM FL 8G    |        |                |MicroMaTch 8  7-215464-8 / 0-215464-8                 |X4                                   |
1     |SP6201EM5-L-3-3       |SP6201EM5-L-3-3       |SOT23-5      |9388184 |            |        |                |Linearregler                                          |IC2                                  |
1     |SRV05-4.TCT           |SRV05-4.TCT           |SOT23-6      |1456415 |            |        |824001          |SRV05-4.TCT bzw. WE-TVS TVS Diode – High Speed Series |IC3                                  |
1     |TXS0102DCU            |TXS0102DCU            |DCU8         |1703315 |            |        |                |I2C/UART-Levelshifter                                 |IC1                                  |
1     |USB-MINI32005-601     |USB-MINI32005-601     |32005-601    |        |USB BWM     |        |                |MINI USB-B R/A DIP 5pol.                              |X2                                   |
1     |XMEGA-A3U-128AUTQFP   |XMEGA-A3U-128AUTQFP   |TQFP64       |2066298 |            |        |                |Atmel XMega A3 series processor                       |U$1                                  |
1     |green                 |LEDLGCHIPLED_0603     |CHIPLED_0603 |        |LG L29K     |        |                |LED                                                   |LED2                                 |
1     |red                   |LEDLRCHIPLED_0603     |CHIPLED_0603 |        |LS L29K     |        |                |LED                                                   |LED1                                 |
